;
; iA-64 registers
; This file is generate with help of fpc/compiler/utils/gia64reg,
; please try to use this generator before you do error prone and tedious
; editing by hand
;
; layout
; <name>,<type>,<value>,<stdname>,<gasname>,<stabidx>
;
NO,$00,$00,INVALID,INVALID,INVALID,INVALID,-1,-1

R0,$01,0,r0,r0
R1,$01,1,r1,r1
R2,$01,2,r2,r2
R3,$01,3,r3,r3
R4,$01,4,r4,r4
R5,$01,5,r5,r5
R6,$01,6,r6,r6
R7,$01,7,r7,r7
R8,$01,8,r8,r8
R9,$01,9,r9,r9
R10,$01,10,r10,r10
R11,$01,11,r11,r11
R12,$01,12,r12,r12
R13,$01,13,r13,r13
R14,$01,14,r14,r14
R15,$01,15,r15,r15
R16,$01,16,r16,r16
R17,$01,17,r17,r17
R18,$01,18,r18,r18
R19,$01,19,r19,r19
R20,$01,20,r20,r20
R21,$01,21,r21,r21
R22,$01,22,r22,r22
R23,$01,23,r23,r23
R24,$01,24,r24,r24
R25,$01,25,r25,r25
R26,$01,26,r26,r26
R27,$01,27,r27,r27
R28,$01,28,r28,r28
R29,$01,29,r29,r29
R30,$01,30,r30,r30
R31,$01,31,r31,r31
R32,$01,32,r32,r32
R33,$01,33,r33,r33
R34,$01,34,r34,r34
R35,$01,35,r35,r35
R36,$01,36,r36,r36
R37,$01,37,r37,r37
R38,$01,38,r38,r38
R39,$01,39,r39,r39
R40,$01,40,r40,r40
R41,$01,41,r41,r41
R42,$01,42,r42,r42
R43,$01,43,r43,r43
R44,$01,44,r44,r44
R45,$01,45,r45,r45
R46,$01,46,r46,r46
R47,$01,47,r47,r47
R48,$01,48,r48,r48
R49,$01,49,r49,r49
R50,$01,50,r50,r50
R51,$01,51,r51,r51
R52,$01,52,r52,r52
R53,$01,53,r53,r53
R54,$01,54,r54,r54
R55,$01,55,r55,r55
R56,$01,56,r56,r56
R57,$01,57,r57,r57
R58,$01,58,r58,r58
R59,$01,59,r59,r59
R60,$01,60,r60,r60
R61,$01,61,r61,r61
R62,$01,62,r62,r62
R63,$01,63,r63,r63
R64,$01,64,r64,r64
R65,$01,65,r65,r65
R66,$01,66,r66,r66
R67,$01,67,r67,r67
R68,$01,68,r68,r68
R69,$01,69,r69,r69
R70,$01,70,r70,r70
R71,$01,71,r71,r71
R72,$01,72,r72,r72
R73,$01,73,r73,r73
R74,$01,74,r74,r74
R75,$01,75,r75,r75
R76,$01,76,r76,r76
R77,$01,77,r77,r77
R78,$01,78,r78,r78
R79,$01,79,r79,r79
R80,$01,80,r80,r80
R81,$01,81,r81,r81
R82,$01,82,r82,r82
R83,$01,83,r83,r83
R84,$01,84,r84,r84
R85,$01,85,r85,r85
R86,$01,86,r86,r86
R87,$01,87,r87,r87
R88,$01,88,r88,r88
R89,$01,89,r89,r89
R90,$01,90,r90,r90
R91,$01,91,r91,r91
R92,$01,92,r92,r92
R93,$01,93,r93,r93
R94,$01,94,r94,r94
R95,$01,95,r95,r95
R96,$01,96,r96,r96
R97,$01,97,r97,r97
R98,$01,98,r98,r98
R99,$01,99,r99,r99
R100,$01,100,r100,r100
R101,$01,101,r101,r101
R102,$01,102,r102,r102
R103,$01,103,r103,r103
R104,$01,104,r104,r104
R105,$01,105,r105,r105
R106,$01,106,r106,r106
R107,$01,107,r107,r107
R108,$01,108,r108,r108
R109,$01,109,r109,r109
R110,$01,110,r110,r110
R111,$01,111,r111,r111
R112,$01,112,r112,r112
R113,$01,113,r113,r113
R114,$01,114,r114,r114
R115,$01,115,r115,r115
R116,$01,116,r116,r116
R117,$01,117,r117,r117
R118,$01,118,r118,r118
R119,$01,119,r119,r119
R120,$01,120,r120,r120
R121,$01,121,r121,r121
R122,$01,122,r122,r122
R123,$01,123,r123,r123
R124,$01,124,r124,r124
R125,$01,125,r125,r125
R126,$01,126,r126,r126
R127,$01,127,r127,r127

F0,$02,0,r0,r0
F1,$02,1,r1,r1
F2,$02,2,r2,r2
F3,$02,3,r3,r3
F4,$02,4,r4,r4
F5,$02,5,r5,r5
F6,$02,6,r6,r6
F7,$02,7,r7,r7
F8,$02,8,r8,r8
F9,$02,9,r9,r9
F10,$02,10,r10,r10
F11,$02,11,r11,r11
F12,$02,12,r12,r12
F13,$02,13,r13,r13
F14,$02,14,r14,r14
F15,$02,15,r15,r15
F16,$02,16,r16,r16
F17,$02,17,r17,r17
F18,$02,18,r18,r18
F19,$02,19,r19,r19
F20,$02,20,r20,r20
F21,$02,21,r21,r21
F22,$02,22,r22,r22
F23,$02,23,r23,r23
F24,$02,24,r24,r24
F25,$02,25,r25,r25
F26,$02,26,r26,r26
F27,$02,27,r27,r27
F28,$02,28,r28,r28
F29,$02,29,r29,r29
F30,$02,30,r30,r30
F31,$02,31,r31,r31
F32,$02,32,r32,r32
F33,$02,33,r33,r33
F34,$02,34,r34,r34
F35,$02,35,r35,r35
F36,$02,36,r36,r36
F37,$02,37,r37,r37
F38,$02,38,r38,r38
F39,$02,39,r39,r39
F40,$02,40,r40,r40
F41,$02,41,r41,r41
F42,$02,42,r42,r42
F43,$02,43,r43,r43
F44,$02,44,r44,r44
F45,$02,45,r45,r45
F46,$02,46,r46,r46
F47,$02,47,r47,r47
F48,$02,48,r48,r48
F49,$02,49,r49,r49
F50,$02,50,r50,r50
F51,$02,51,r51,r51
F52,$02,52,r52,r52
F53,$02,53,r53,r53
F54,$02,54,r54,r54
F55,$02,55,r55,r55
F56,$02,56,r56,r56
F57,$02,57,r57,r57
F58,$02,58,r58,r58
F59,$02,59,r59,r59
F60,$02,60,r60,r60
F61,$02,61,r61,r61
F62,$02,62,r62,r62
F63,$02,63,r63,r63
F64,$02,64,r64,r64
F65,$02,65,r65,r65
F66,$02,66,r66,r66
F67,$02,67,r67,r67
F68,$02,68,r68,r68
F69,$02,69,r69,r69
F70,$02,70,r70,r70
F71,$02,71,r71,r71
F72,$02,72,r72,r72
F73,$02,73,r73,r73
F74,$02,74,r74,r74
F75,$02,75,r75,r75
F76,$02,76,r76,r76
F77,$02,77,r77,r77
F78,$02,78,r78,r78
F79,$02,79,r79,r79
F80,$02,80,r80,r80
F81,$02,81,r81,r81
F82,$02,82,r82,r82
F83,$02,83,r83,r83
F84,$02,84,r84,r84
F85,$02,85,r85,r85
F86,$02,86,r86,r86
F87,$02,87,r87,r87
F88,$02,88,r88,r88
F89,$02,89,r89,r89
F90,$02,90,r90,r90
F91,$02,91,r91,r91
F92,$02,92,r92,r92
F93,$02,93,r93,r93
F94,$02,94,r94,r94
F95,$02,95,r95,r95
F96,$02,96,r96,r96
F97,$02,97,r97,r97
F98,$02,98,r98,r98
F99,$02,99,r99,r99
F100,$02,100,r100,r100
F101,$02,101,r101,r101
F102,$02,102,r102,r102
F103,$02,103,r103,r103
F104,$02,104,r104,r104
F105,$02,105,r105,r105
F106,$02,106,r106,r106
F107,$02,107,r107,r107
F108,$02,108,r108,r108
F109,$02,109,r109,r109
F110,$02,110,r110,r110
F111,$02,111,r111,r111
F112,$02,112,r112,r112
F113,$02,113,r113,r113
F114,$02,114,r114,r114
F115,$02,115,r115,r115
F116,$02,116,r116,r116
F117,$02,117,r117,r117
F118,$02,118,r118,r118
F119,$02,119,r119,r119
F120,$02,120,r120,r120
F121,$02,121,r121,r121
F122,$02,122,r122,r122
F123,$02,123,r123,r123
F124,$02,124,r124,r124
F125,$02,125,r125,r125
F126,$02,126,r126,r126
F127,$02,127,r127,r127
